"CAN","AC115","115","6","VAC-115","115","115V","801","01",
"CAN","AC480","480","5","VAC-480","480","480V","801","01",
"CAN","C1","1","12","SC1-1","1","","801","01",
"CAN","C1","11","2","SC1-NO1","1","","801","01",
"CAN","C1","12","17","SC1-NO1","1","","801","01",
"CAN","C1","13","3","SC1-NO2","1","","801","01",
"CAN","C1","14","18","SC1-NO2","1","","801","01",
"CAN","C1","15","2","SC1-NC1","0","","801","01",
"CAN","C1","16","19","SC1-NC1","0","","801","01",
"CAN","C1","17","3","SC1-NC2","0","","801","01",
"CAN","C1","18","20","SC1-NC2","0","","801","01",
"CAN","C1","2","22","SC1-1","1","","801","01",
"CAN","C1","3","13","SC1-3","1","","801","01",
"CAN","C1","4","23","SC1-3","1","","801","01",
"CAN","C1","5","14","SC1-5","1","","801","01",
"CAN","C1","6","24","SC1-5","1","","801","01",
"CAN","C1","A","37","RC1","1000","","801","01",
"CAN","C1","B","0","RC1","1000","","801","01",
"CAN","C1","COM","21","SC1-COM","1","","801","01",
"CAN","C1","NO","34","SC1-COM","1","","801","01",
"CAN","L11","1","37","L11","115","","801","01",
"CAN","L11","2","0","L11","115","","801","01",
"CAN","MCCB","1","5","SCB-1","1","","801","01",
"CAN","MCCB","2","12","SCB-1","1","","801","01",
"CAN","MCCB","3","5","SCB-3","1","","801","01",
"CAN","MCCB","4","13","SCB-3","1","","801","01",
"CAN","MCCB","5","5","SCB-5","1","","801","01",
"CAN","MCCB","6","14","SCB-5","1","","801","01",
"CAN","MOT","1","25","RMOT-1","1000","","801","01",
"CAN","MOT","2","0","RMOT-1","1000","","801","01",
"CAN","MOT","3","26","RMOT-2","1000","","801","01",
"CAN","MOT","4","0","RMOT-2","1000","","801","01",
"CAN","MOT","5","27","RMOT-3","1000","","801","01",
"CAN","MOT","6","0","RMOT-3","1000","","801","01",
"CAN","OL1","1","22","ROL1-1","2","","801","01",
"CAN","OL1","2","25","ROL1-1","2","","801","01",
"CAN","OL1","3","23","ROL1-3","2","","801","01",
"CAN","OL1","4","26","ROL1-3","2","","801","01",
"CAN","OL1","5","24","ROL1-5","2","","801","01",
"CAN","OL1","6","27","ROL1-5","2","","801","01",
"CAN","OL1","NC1","36","SOL1","0","","801","01",
"CAN","OL1","NC2","37","SOL1","0","","801","01",
"CAN","OL1","NO1","0","SOL2","1","","801","01",
"CAN","OL1","NO2","0","SOL2","1","","801","01",
"CAN","PB1","1","35","SPB1","0","","801","01",
"CAN","PB1","2","36","SPB1","0","","801","01",
"CAN","PB11","1","40","SPB11","0","","801","01",
"CAN","PB11","2","35","SPB11","0","","801","01",
"CAN","PB2","1","32","SPB2","1","","801","01",
"CAN","PB2","2","38","SPB2","1","","801","01",
"CAN","PB21","1","33","SPB21","1","","801","01",
"CAN","PB21","2","39","SPB21","1","","801","01",
"CAN","PFS1","1","14","RPFS1","0.1","","801","01",
"CAN","PFS1","2","15","RPFS1","0.1","","801","01",
"CAN","PFS2","1","14","RPFS2","0.1","","801","01",
"CAN","PFS2","2","16","RPFS2","0.1","","801","01",
"CAN","RA1","1","17","RA1","1000","","801","01",
"CAN","RA1","2","0","RA1","1000","","801","01",
"CAN","RA2","1","18","RA2","1000","","801","01",
"CAN","RA2","2","0","RA2","1000","","801","01",
"CAN","RA3","1","19","RA3","1000","","801","01",
"CAN","RA3","2","0","RA3","1000","","801","01",
"CAN","RA4","1","20","RA4","1000","","801","01",
"CAN","RA4","2","0","RA4","1000","","801","01",
"CAN","RGND1","0","0","RGND1","1000","","801","01",
"CAN","RGND1","2","21","RGND1","1000","","801","01",
"CAN","RP1","1","38","RP1","0.1","","801","01",
"CAN","RP1","2","40","RP1","0.1","","801","01",
"CAN","RP2","1","34","RP2","0.1","","801","01",
"CAN","RP2","2","40","RP2","0.1","","801","01",
"CAN","RP3","1","39","RP3","0.1","","801","01",
"CAN","RP3","2","40","RP3","0.1","","801","01",
"CAN","S1","1","21","S1-1","1","","801","01",
"CAN","S1","2","32","S1-1","1","","801","01",
"CAN","S1","3","21","S1-2","1","","801","01",
"CAN","S1","4","33","S1-2","1","","801","01",
"CAN","T1","1","15","XT1-1","","","801","01",
"CAN","T1","2","16","XT1-2","","","801","01",
"CAN","T1","3","21","XT1-3","","","801","01",
"CAN","T1","4","0","XT1-4","","","801","01",
"CAN","T1A","1","6","ST1A","1","","801","01",
"CAN","T1A","2","11","ST1A","1","","801","01",
"CAN","T1A","A","15","RT1A","1000","","801","01",
"CAN","T1A","B","0","RT1A","1000","","801","01",
"CAN","T1B","1","11","ST1B","1","","801","01",
"CAN","T1B","2","21","ST1B","1","","801","01",
"CAN","T1B","A","16","RT1B","1000","","801","01",
"CAN","T1B","B","0","RT1B","1000","","801","01",
"CAN","TB1","1","33","XTB1-1","","","801","01",
"CAN","TB1","11","2","XTB1-11","","","801","01",
"CAN","TB1","12","17","XTB1-12","","","801","01",
"CAN","TB1","13","3","XTB1-13","","","801","01",
"CAN","TB1","14","18","XTB1-14","","","801","01",
"CAN","TB1","15","2","XTB1-15","","","801","01",
"CAN","TB1","16","19","XTB1-16","","","801","01",
"CAN","TB1","17","3","XTB1-17","","","801","01",
"CAN","TB1","18","20","XTB1-18","","","801","01",
"CAN","TB1","2","39","XTB1-2","","","801","01",
"CAN","TB1","3","35","XTB1-3","","","801","01",
"CAN","TB1","4","37","XTB1-4","","","801","01",
"CAN","TB2","1","25","XTB2-1","","","801","01",
"CAN","TB2","2","26","XTB2-2","","","801","01",
"CAN","TB2","3","27","XTB2-3","","","801","01",
"CAN","TB5","1","0","XTB1-5","","","801","01",
"CAN","VDC-LCR","24","3","VDC-LCR","24","24VDC","801","01",
"CAN","VDC-MCR","24","2","VDC-MCR","24","24VDC","801","01",
